,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
38,AAPL260515C00215000,2026-04-15 16:44:38+00:00,215.0,50.92,51.45,52.75,6.3799973,14.324197,971.0,714,0.523442265625,True,REGULAR,USD
39,AAPL260515C00220000,2026-04-15 19:58:42+00:00,220.0,47.41,46.7,48.15,7.1100006,17.642681,517.0,2020,0.5134326000976561,True,REGULAR,USD
40,AAPL260515C00225000,2026-04-15 19:58:00+00:00,225.0,42.64,42.2,43.05,7.540001,21.481485,12.0,579,0.45972219970703126,True,REGULAR,USD
41,AAPL260515C00230000,2026-04-15 19:48:50+00:00,230.0,37.5,37.55,38.3,6.8999996,22.549017,25.0,1625,0.4322566540527344,True,REGULAR,USD
42,AAPL260515C00235000,2026-04-15 19:59:58+00:00,235.0,33.2,32.8,33.55,7.09,27.154346,100.0,2014,0.40161731201171874,True,REGULAR,USD
43,AAPL260515C00240000,2026-04-15 19:37:57+00:00,240.0,28.3,28.5,29.05,6.289999,28.577913,189.0,41181,0.3813538427734374,True,REGULAR,USD
44,AAPL260515C00245000,2026-04-15 19:59:11+00:00,245.0,24.5,24.2,24.65,6.5,36.11111,145.0,2220,0.3597476135253906,True,REGULAR,USD
45,AAPL260515C00250000,2026-04-15 19:59:44+00:00,250.0,20.29,20.1,20.55,5.790001,39.93104,991.0,10739,0.34400070068359373,True,REGULAR,USD
46,AAPL260515C00255000,2026-04-15 19:57:59+00:00,255.0,16.5,16.3,16.65,5.3,47.32143,879.0,12636,0.32684999328613284,True,REGULAR,USD
47,AAPL260515C00260000,2026-04-15 19:59:58+00:00,260.0,13.02,12.9,13.1,4.620001,55.000015,24323.0,12821,0.31189652954101554,True,REGULAR,USD
48,AAPL260515C00265000,2026-04-15 19:59:57+00:00,265.0,10.07,9.95,10.05,3.9899998,65.62499,4710.0,11987,0.3016427258300781,True,REGULAR,USD
49,AAPL260515C00270000,2026-04-15 19:59:57+00:00,270.0,7.51,7.4,7.55,3.2600002,76.70589,12298.0,24512,0.295905478515625,False,REGULAR,USD
50,AAPL260515C00275000,2026-04-15 19:59:56+00:00,275.0,5.55,5.4,5.5,2.6900003,94.05596,7878.0,19354,0.29090064575195307,False,REGULAR,USD
51,AAPL260515C00280000,2026-04-15 19:59:56+00:00,280.0,3.88,3.8,3.9,1.9700001,103.14137,20861.0,32884,0.2873606420898437,False,REGULAR,USD
52,AAPL260515C00285000,2026-04-15 19:59:54+00:00,285.0,2.71,2.62,2.72,1.46,116.8,5664.0,31079,0.28601788208007806,False,REGULAR,USD
53,AAPL260515C00290000,2026-04-15 19:59:52+00:00,290.0,1.86,1.82,1.87,1.01,118.823524,4545.0,16055,0.28613995117187496,False,REGULAR,USD
54,AAPL260515C00295000,2026-04-15 19:59:18+00:00,295.0,1.26,1.22,1.26,0.7,125.0,1358.0,14350,0.28650615844726557,False,REGULAR,USD
55,AAPL260515C00300000,2026-04-15 19:59:34+00:00,300.0,0.85,0.82,0.86,0.46000004,117.94873,4236.0,21934,0.2893137475585937,False,REGULAR,USD
56,AAPL260515C00305000,2026-04-15 19:58:23+00:00,305.0,0.56,0.55,0.59,0.31,124.0,794.0,6749,0.29321995849609367,False,REGULAR,USD
57,AAPL260515C00310000,2026-04-15 19:59:15+00:00,310.0,0.39,0.37,0.4,0.19999999,105.263145,310.0,15550,0.2966378930664062,False,REGULAR,USD
58,AAPL260515C00315000,2026-04-15 19:58:23+00:00,315.0,0.26,0.26,0.28,0.13999999,116.66665,55.0,2037,0.3020089331054688,False,REGULAR,USD
59,AAPL260515C00320000,2026-04-15 19:53:52+00:00,320.0,0.17,0.18,0.19,0.08,88.888885,664.0,8960,0.305671005859375,False,REGULAR,USD
60,AAPL260515C00325000,2026-04-15 19:29:03+00:00,325.0,0.12,0.12,0.15,0.06,100.0,169.0,2279,0.31641308593749995,False,REGULAR,USD
61,AAPL260515C00330000,2026-04-15 16:59:34+00:00,330.0,0.09,0.09,0.11,0.060000002,199.99998,4.0,4426,0.3227606787109374,False,REGULAR,USD
62,AAPL260515C00335000,2026-04-15 19:42:20+00:00,335.0,0.06,0.06,0.08,0.04,200.0,11.0,2829,0.32910827148437494,False,REGULAR,USD
63,AAPL260515C00340000,2026-04-15 19:02:53+00:00,340.0,0.05,0.04,0.06,0.030000001,150.0,1040.0,2961,0.335944140625,False,REGULAR,USD
64,AAPL260515C00345000,2026-04-15 19:37:56+00:00,345.0,0.04,0.02,0.06,0.01,33.333336,2.0,1254,0.35352208984374994,False,REGULAR,USD
65,AAPL260515C00350000,2026-04-15 19:59:43+00:00,350.0,0.04,0.03,0.05,0.02,100.0,1916.0,14204,0.3632876171875,False,REGULAR,USD
66,AAPL260515C00355000,2026-04-15 19:38:06+00:00,355.0,0.12,0.01,0.15,0.089999996,300.0,1.0,6,0.43164630859375,False,REGULAR,USD
67,AAPL260515C00360000,2026-04-13 18:58:02+00:00,360.0,0.02,0.01,0.03,0.0,0.0,3.0,2103,0.37500625,False,REGULAR,USD
68,AAPL260515C00370000,2026-04-15 18:35:54+00:00,370.0,0.01,0.0,0.02,-0.01,-50.0,2.0,1913,0.39063109375,False,REGULAR,USD
69,AAPL260515C00380000,2026-04-13 19:05:04+00:00,380.0,0.03,0.0,0.16,0.0,0.0,9.0,1193,0.5219774365234374,False,REGULAR,USD
70,AAPL260515C00390000,2026-04-10 19:25:53+00:00,390.0,0.01,0.0,0.02,0.0,0.0,11.0,1758,0.445318046875,False,REGULAR,USD
71,AAPL260515C00400000,2026-04-10 19:31:44+00:00,400.0,0.01,0.0,0.01,0.0,0.0,9.0,6874,0.445318046875,False,REGULAR,USD
72,AAPL260515C00410000,2026-03-31 17:03:11+00:00,410.0,0.05,0.0,0.02,0.0,0.0,6.0,407,0.49609878906250005,False,REGULAR,USD
73,AAPL260515C00420000,2026-02-04 17:01:18+00:00,420.0,0.03,0.0,0.23,0.0,0.0,2.0,141,0.6210975390625001,False,REGULAR,USD
74,AAPL260515C00430000,2026-03-31 17:41:40+00:00,430.0,0.06,0.0,0.01,0.0,0.0,2.0,140,0.51562984375,False,REGULAR,USD
75,AAPL260515C00440000,2026-02-09 16:50:26+00:00,440.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD
76,AAPL260515C00450000,2026-04-09 14:15:45+00:00,450.0,0.01,0.0,0.01,0.0,0.0,1.0,2025,0.5312546875,False,REGULAR,USD
